"year","state","avg_house_price"
2002,"MI",104600.35846
2003,"MI",108106.54489
2004,"MI",110828.92537
2005,"MI",113964.481
2006,"MI",112710.29421
2007,"MI",107366.2413
2008,"MI",93302.323933
2009,"MI",78536.822141
2010,"MI",75650.715235
2011,"MI",73585.437833
2012,"MI",73014.542468
2013,"MI",81271.46315
2014,"MI",90955.78501
2015,"MI",96559.034658
2016,"MI",101799.28699
2017,"MI",109709.15849
2018,"MI",118187.18443
1975,"MN",25365.017022
1976,"MN",27178.066808
1977,"MN",29183.91083
1978,"MN",33070.017031
1979,"MN",38442.580247
1980,"MN",42174.698611
1981,"MN",44330.641141
1982,"MN",46721.464978
1983,"MN",46405.370639
1984,"MN",46689.558897
1985,"MN",48869.51074
1986,"MN",49912.632357
1987,"MN",51573.076488
1988,"MN",53235.506061
1989,"MN",54974.122795
1990,"MN",56775.6028
1991,"MN",57562.54448
1992,"MN",58663.525233
1993,"MN",60867.213037
1994,"MN",63959.391216
1995,"MN",66435.960815
1996,"MN",69204.436675
1997,"MN",72692.526984
1998,"MN",75721.085176
1999,"MN",81998.658354
2000,"MN",91085.606821
2001,"MN",100850.82723
2002,"MN",110248.7355
2003,"MN",120825.15263
2004,"MN",129783.31931
2005,"MN",137523.74751
2006,"MN",144552.6488
2007,"MN",143033.86762
2008,"MN",133830.87324
2009,"MN",120249.67903
2010,"MN",118559.96841
2011,"MN",110640.31869
2012,"MN",106517.77158
2013,"MN",115941.86818
2014,"MN",125509.39393
2015,"MN",128493.27555
2016,"MN",135538.53701
2017,"MN",144248.64606
2018,"MN",153254.42669
1975,"MO",30467.112382
1976,"MO",31857.27156
1977,"MO",34258.969653
1978,"MO",38909.149064
1979,"MO",43878.112037
1980,"MO",48708.954961
1981,"MO",50620.510429
1982,"MO",49241.097267
1983,"MO",50848.582259
1984,"MO",53360.894225
1985,"MO",55866.680705
1986,"MO",58974.056559
1987,"MO",62166.885242
